shaem_yishuv,semel_yishuv,Apt_2012,Apt_2013,Apt_2014,Apt_2015,Apt_2016,Apt_2017,Apt_2018,Apt_2019,semel_yishuv_int
אבו גוש,"472","1506","1562","1568","1582","1633","2164","1917","1940","472"
אבו סנאן,"473","2821","2885","2975","3049","3139","3197","3365","3472","473"
אבן יהודה,"182","3119","3238","3298","3365","3431","3489","3525","3580","182"
אום אל-פחם,"2710","14378","14480","14701","14751","14881","15027","15725","16432","2710"
אופקים,"31","7123","7140","7243","7284","7649","7748","7943","8418","31"
אור יהודה,"2400","10084","10220","10373","10358","10535","10624","10629","10621","2400"
אור עקיבא,"1020","4931","5043","5292","5453","5455","5593","6007","6574","1020"
אורנית,"3760","1648","1763","1901","1995","2013","2043","2082","2116","3760"
אזור,"565","3580","3597","3608","3633","3643","3643","3677","3830","565"
אילת,"2600","17467","17672","17848","18070","18323","18668","18987","19083","2600"
אכסאל,"478","2757","2783","2873","3014","3044","3110","3158","3186","478"
אליכין,"41","1008","1017","1030","1034","1034","1037","1046","1058","41"
אלעד,"1309","7176","7173","7174","7258","7303","7352","7391","7393","1309"
אלפי מנשה,"3750","1913","1931","1933","1954","2013","2011","2060","2101","3750"
אלקנה,"3560","767","809","815","817","821","822","824","824","3560"
אעבלין,"529","2568","2640","2763","2809","2834","2934","2931","2924","529"
אפרת,"3650","1748","1758","1767","1764","1812","1963","2159","2372","3650"
אריאל,"3570","4783","4774","4772","4859","5243","5423","5489","5519","3570"
אשדוד,"70","62915","63135","64074","64691","65115","65756","66564","67230","70"
אשקלון,"7100","39960","41782","42755","44090","45151","46543","47939","49391","7100"
באקה אל-גרביה,"6000","5668","5765","5928","6031","6128","6170","6297","6419","6000"
באר יעקב,"2530","4084","4394","4515","4623","5354","5988","6970","7339","2530"
באר שבע,"9000","70698","71840","73011","73667","74581","75770","76917","77825","9000"
בועיינה-נוג'ידאת,"482","1739","1849","1918","2013","2084","2153","2214","2276","482"
בוקעאתא,"4001","1417","1459","1511","1547","1573","1620","1643","1654","4001"
ביר אל-מכסור,"998","1506","1570","1604","1728","1754","1757","1760","1818","998"
בית אל,"3574","1156","1202","1199","1204","1198","1180","1180","1187","3574"
בית אריה,"3652","1020","1044","1071","1151","1201","1217","1234","1266","3652"
בית ג'ן,"480","2368","2481","2548","2650","2721","2800","2941","3018","480"
בית דגן,"466","1697","1708","1716","1715","1718","1722","1720","1719","466"
בית שאן,"9200","4913","4966","4941","5089","5149","5354","5491","5672","9200"
בית שמש,"2610","17376","17818","18434","19866","20700","20936","21353","22440","2610"
ביתר עילית,"3780","6595","6886","6838","7049","7110","7458","7608","7723","3780"
בני ברק,"6100","41464","42269","43059","43818","44589","45191","46060","46914","6100"
"בני עי""ש","1066","2171","2198","2200","2207","2234","2238","2258","2263","1066"
בנימינה-גבעת עדה*,"9800","3578","3639","3703","3813","3886","3939","3989","4022","9800"
"בסמ""ה","1326","1543","1557","1622","1685","1710","1767","1894","2020","1326"
בסמת טבעון,"944","1390","1411","1432","1506","1594","1624","1677","1721","944"
בענה,"483","1756","1763","1770","1784","1828","1858","1913","1932","483"
בת ים,"6200","50635","50698","50759","51229","51626","52347","53716","54235","6200"
ג'דיידה-מכר,"1292","4140","4249","4339","4400","4474","4760","4844","5077","1292"
ג'ולס,"485","1331","1355","1384","1430","1549","1587","1645","1687","485"
ג'לג'וליה,"627","1404","1428","1427","1450","1502","1583","1608","1631","627"
ג'סר א-זרקא,"541","1927","2123","2112","2193","2326","2319","2357","2373","541"
ג'ש (גוש חלב),"487","808","833","851","873","893","911","924","933","487"
ג'ת,"628","2471","2532","2645","2750","2781","2933","3004","3072","628"
גבעת זאב,"3730","3159","3301","3341","3611","3677","3728","3811","3945","3730"
גבעת שמואל,"681","7304","7352","7357","7510","7508","7579","7784","7943","681"
גבעתיים,"6300","23182","23448","23571","23623","23644","24392","24431","24471","6300"
גדרה,"2550","6296","6375","6490","6549","6682","6754","6835","6881","2550"
גן יבנה,"166","4902","4981","5077","5187","5275","5368","5432","5479","166"
גני תקווה,"229","4406","4502","4868","4954","5440","5699","6253","6633","229"
דאלית אל-כרמל,"494","3624","3709","3792","3908","4117","4223","4416","4912","494"
דבורייה,"489","2002","2114","2181","2177","2237","2296","2282","2295","489"
דייר אל-אסד,"490","1814","1826","1846","1880","2029","2100","2201","2440","490"
דייר חנא,"492","2224","2266","2331","2418","2508","2572","2630","2695","492"
דימונה,"2200","11483","11568","11798","11828","11973","12175","12424","12756","2200"
הוד השרון,"9700","15298","15594","16096","17210","17986","18725","19471","19521","9700"
הר אדר,"3769","812","830","835","861","894","916","923","924","3769"
הרצלייה,"6400","34048","34186","34344","33964","34475","35082","35395","36377","6400"
זכרון יעקב,"9300","6763","6923","6980","7253","7423","7527","7625","7763","9300"
זמר,"1290","1313","1356","1374","1426","1448","1480","1499","1528","1290"
זרזיר,"975","1085","1130","1291","1303","1309","1332","1346","1360","975"
חדרה,"6500","27828","28388","29147","30079","31086","31863","32641","33576","6500"
חולון,"6600","64479","64959","64207","64707","66994","67411","68121","68990","6600"
חורה,"1303","1044","1069","1103","1170","1229","1271","1283","1374","1303"
חורפיש,"496","1361","1400","1452","1498","1512","1546","1552","1613","496"
חיפה,"4000","114653","115586","116505","116653","116109","118124","119676","120719","4000"
חצור הגלילית,"2034","2561","2710","2607","2718","2776","2794","2902","2943","2034"
חריש,"1247","1052","303","301","300","425","1182","3005","4508","1247"
טבריה,"6700","14621","14831","14968","15241","15513","15747","16232","16699","6700"
טובא-זנגרייה,"962","1085","1101","1141","1167","1200","1253","1304","1348","962"
טורעאן,"498","2843","2933","3045","3116","3200","3266","3316","3373","498"
טייבה,"2730","6253","6681","7575","7975","8353","8482","8900","9272","2730"
טירה,"2720","5476","5594","5874","6160","6219","6226","6288","6761","2720"
טירת כרמל,"2100","6312","6384","6398","6831","7136","7493","7896","8371","2100"
טמרה,"8900","6548","6606","6712","6849","7057","7649","7851","7877","8900"
יאנוח-ג'ת,"1295","1381","1407","1461","1496","1547","1578","1617","1652","1295"
יבנאל,"46","921","951","980","1014","1048","1071","1098","1056","46"
יבנה,"2660","9079","10294","11304","12365","12650","12855","13035","13246","2660"
יהוד,"9400","8645","8627","8699","9030","9150","9175","9333","9414","9400"
יסוד המעלה,"29","428","438","446","454","457","475","483","486","29"
יפיע,"499","4088","4203","4242","4377","4471","4540","4621","4741","499"
יקנעם עילית,"240","5933","6123","6258","6371","6633","6794","7130","7394","240"
ירוחם,"831","2638","2688","2717","2781","2871","2931","3100","3203","831"
ירושלים,"3000","200527","204046","208639","211990","216249","219980","224577","228948","3000"
ירכא,"502","3172","3251","3373","3723","3758","3874","3969","4033","502"
כאבול,"504","2510","2620","2711","2835","2969","3039","3107","3189","504"
כאוכב אבו אל-היג'א,"505","613","647","679","718","744","777","820","841","505"
כוכב יאיר,"1224","2495","2495","2496","2497","2498","2498","2498","2499","1224"
כסיפה,"1059","623","621","812","822","819","818","821","831","1059"
כסרא-סמיע,"1296","1637","1715","1739","1805","1866","1910","1963","1995","1296"
כעביה-טבאש-חג'אג'רה,"978","681","730","732","767","802","818","818","816","978"
כפר ברא,"633","610","639","665","680","700","729","760","786","633"
כפר ורדים,"1263","1554","1564","1576","1589","1608","1628","1701","1712","1263"
כפר יאסיף,"507","2468","2513","2567","2598","2678","2731","2812","2848","507"
כפר יונה,"168","5071","5105","5390","5440","5588","5696","5821","6795","168"
כפר כמא,"508","1053","1054","1096","1057","1058","1086","1109","1130","508"
כפר כנא,"509","3813","3940","4047","4151","4260","4329","4400","4476","509"
כפר מנדא,"510","3102","3234","3294","3568","3645","3811","4015","4006","510"
כפר סבא,"6900","28575","29872","30995","32297","32737","33001","33555","33871","6900"
כפר קאסם,"634","3883","3950","4116","4145","4261","4349","4533","4657","634"
כפר קרע,"654","3805","3794","3923","3929","4033","4173","4397","4471","654"
כפר שמריהו,"267","666","684","689","690","712","722","716","712","267"
כפר תבור,"47","853","920","967","1020","1088","1157","1209","1247","47"
כרמיאל,"1139","15383","15551","15661","15856","15999","16177","16273","16380","1139"
להבים,"1271","1493","1528","1542","1555","1567","1569","1577","1607","1271"
לוד,"7000","21349","21895","22016","22123","22119","22294","22874","23012","7000"
לקיה,"1060","489","576","575","615","640","767","765","769","1060"
מבשרת ציון,"1015","6513","6586","6621","6680","6705","6714","6734","6750","1015"
מג'ד אל-כרום,"516","2887","2922","2969","3127","3345","3429","3522","3577","516"
מג'דל שמס,"4201","1674","1702","1978","2388","2369","2375","2411","2468","4201"
מגאר,"481","4177","4089","4155","4240","4311","4368","4675","4718","481"
מגדל,"65","662","671","691","730","737","758","792","824","65"
מגדל העמק,"874","7972","8041","8106","8309","8462","8610","8620","8619","874"
מודיעין-מכבים-רעות*,"1200","21497","21991","22392","22670","23028","23474","23933","24280","1200"
מודיעין עילית,"3797","9117","9421","9478","9201","9463","9475","9705","9841","3797"
מזכרת בתיה,"28","2784","3007","3177","3365","3571","3744","3896","3949","28"
מזרעה,"517","750","754","759","778","789","803","870","856","517"
מטולה,"43","524","526","535","537","560","568","576","586","43"
מיתר,"1268","1865","1888","1935","1971","1999","2082","2241","2475","1268"
מסעדה,"4203","771","802","822","857","886","928","950","966","4203"
מעיליא,"518","788","805","827","851","873","899","921","937","518"
מעלה אדומים,"3616","9309","9413","9459","9473","9587","9662","9795","9819","3616"
מעלה אפרים,"3608","433","431","432","435","433","433","434","438","3608"
מעלה עירון,"1327","2607","2616","2629","2688","2943","2959","2967","2967","1327"
מעלות-תרשיחא,"1063","6533","6598","6639","6711","6724","6738","6802","6906","1063"
מצפה רמון,"99","1875","1886","1878","1874","1885","1925","1917","1929","99"
משהד,"520","1195","1244","1393","1437","1477","1502","1486","1549","520"
נהרייה,"9100","18630","18956","19351","19869","20180","20499","21116","21562","9100"
נחף,"522","1941","1977","1972","2078","2262","2326","2501","2565","522"
נס ציונה,"7200","12126","12570","12931","13208","13538","13737","13912","14001","7200"
נצרת,"7300","15253","16314","16359","16309","16507","16806","17028","17244","7300"
נצרת עילית,"1061","16078","16086","16093","16169","16320","16376","16469","16580","1061"
נשר,"2500","9031","9027","9019","9027","9179","9419","9518","9812","2500"
נתיבות,"246","6703","6823","6895","7192","7450","7719","8102","9156","246"
נתניה,"7400","66987","68640","70029","71572","72542","73765","75342","76106","7400"
סאג'ור,"525","739","749","762","766","804","798","805","896","525"
סביון*,"587","1099","1155","1175","1191","1205","1223","1257","1283","587"
סח'נין,"7500","6264","6422","6534","6662","6967","7061","7230","7526","7500"
ע'ג'ר,"4501",NULL,NULL,NULL,"368","383","388","405","415","4501"
עומר,"666","2318","2329","2350","2380","2397","2423","2480","2486","666"
עיילבון,"530","1311","1475","1513","1596","1659","1737","1746","1761","530"
עילוט,"511","1338","1368","1390","1443","1543","1665","1685","1708","511"
עין מאהל,"532","2524","2604","2658","2719","2781","2842","2939","3038","532"
עין קנייא,"4502","461","480","502","539","538","568","591","605","4502"
עכו,"7600","14975","15013","15186","15511","15802","15934","16543","16774","7600"
עמנואל,"3660","813","852","865","873","879","912","944","1022","3660"
עספיא,"534","2590","2713","3012","3150","3291","3482","3539","3603","534"
עפולה,"7700","14362","14833","15282","15762","16574","17561","18505","19700","7700"
עראבה,"531","4654","4905","5099","5196","5372","5558","5669","5916","531"
ערד,"2560","8741","8803","8832","8985","9052","9153","9176","9228","2560"
ערערה,"637","3314","3397","3448","3528","3815","3846","3869","3931","637"
ערערה-בנגב,"1192","875","853","988","982","985","983","977","985","1192"
פוריידיס,"537","2382","2414","2598","2629","2656","2927","2924","2954","537"
פסוטה,"535","795","816","837","850","867","884","894","903","535"
פקיעין (בוקייעה),"536","1486","1522","1561","1611","1655","1702","1748","1793","536"
פרדס חנה-כרכור,"7800","10285","10572","10921","11269","11795","12350","12709","13201","7800"
פרדסייה,"171","1384","1390","1399","1407","1469","1499","1518","1545","171"
פתח תקווה,"7900","72747","75523","77357","79074","80244","81862","83826","84932","7900"
צפת,"8000","9774","9868","9985","9882","9997","10048","10297","10315","8000"
קדומים,"3557","916","956","965","1016","1036","1065","1089","1082","3557"
קדימה-צורן,"195","4736","4959","5334","5564","5711","5820","5888","5934","195"
קלנסווה,"638","3365","3572","3654","3887","4119","4164","4216","4251","638"
קצרין,"4100","2339","2413","2429","2453","2461","2490","2539","2595","4100"
קריית אונו,"2620","11552","11771","12026","12358","12678","12744","13215","13160","2620"
קריית ארבע,"3611","1768","1790","1804","1795","1816","1819","1847","1878","3611"
קריית אתא,"6800","18445","18662","18822","19465","19772","20143","20497","20906","6800"
קריית ביאליק,"9500","15059","15234","15372","15454","15583","15687","15958","16175","9500"
קריית גת,"2630","14838","15016","15632","15789","15910","16200","17734","17956","2630"
קריית טבעון,"2300","5257","5304","5364","5385","5427","5447","5523","5550","2300"
קריית ים,"9600","14942","15198","15305","15453","15476","15523","15619","15723","9600"
קריית יערים,"1137","684","693","694","727","735","913","962","1099","1137"
קריית מוצקין,"8200","15461","15740","15938","16334","16430","17060","17256","17736","8200"
קריית מלאכי,"1034","5736","5781","5867","5973","6123","6170","6643","7255","1034"
קריית עקרון,"469","2766","2797","2810","2812","2824","2845","2869","2887","469"
קריית שמונה,"2800","7728","7788","7818","7887","7931","7977","8020","8020","2800"
קרני שומרון,"3640","1533","1543","1568","1574","1653","1727","1815","1906","3640"
ראמה,"543","1744","2106","2133","2173","2205","2234","2249","2277","543"
ראש העין,"2640","10817","10979","11099","11137","12334","13302","15368","16819","2640"
ראש פינה,"26","854","868","896","920","943","964","984","1007","26"
ראשון לציון,"8300","72972","74207","75575","76590","77688","78571","79245","80371","8300"
רהט,"1161","3455","3837","3999","4157","4250","4494","4719","4991","1161"
רחובות,"8400","39658","41146","41947","43286","44334","44864","46240","46866","8400"
ריינה,"542","3490","3550","3918","4298","4134","4072","4120","4187","542"
רכסים,"922","1820","1887","1909","1945","2005","2021","2100","2137","922"
רמלה,"8500","18870","19158","20345","20851","21284","21367","21559","21762","8500"
רמת גן,"8600","59861","60434","61034","61491","61613","62769","63950","65212","8600"
רמת השרון,"2650","14700","14940","15013","15085","15085","15085","15914","16116","2650"
רמת ישי,"122","1986","2036","2082","2106","2141","2187","2229","2239","122"
רעננה,"8700","22296","22802","22982","23211","23841","24461","24891","25289","8700"
שבלי - אום אל-גנם,"913","1218","1252","1267","1267","1319","1350","1376","1399","913"
שגב-שלום,"1286","600","597","577","665","852","847","841","858","1286"
שדרות,"1031","6610","6688","6739","6918","7115","7236","7477","7716","1031"
שוהם,"1304","4669","4692","4749","4894","5135","5185","5204","5304","1304"
שלומי,"812","1815","1817","1835","1850","1878","1919","1927","2009","812"
שעב,"538","1420","1390","1423","1476","1527","1543","1694","1709","538"
שפרעם,"8800","8296","8363","8478","8558","8670","8736","9410","9527","8800"
תל אביב -יפו,"5000","188809","189174","195011","197152","199839","202110","206207","209272","5000"
תל מונד,"154","2830","2881","3009","3054","3116","3178","3283","3356","154"
תל שבע,"1054","1471","1467","1438","1442","1439","1444","1447","1445","1054"
